"","Tecnologia","Normas","Capital","Equipo","Empresa"
"1",5.1,3.5,1.4,0.2,"Tenaris"
"2",4.9,3,1.4,0.2,"Tenaris"
"3",4.7,3.2,1.3,0.2,"Tenaris"
"4",4.6,3.1,1.5,0.2,"Tenaris"
"5",5,3.6,1.4,0.2,"Tenaris"
"6",5.4,3.9,1.7,0.4,"Tenaris"
"7",4.6,3.4,1.4,0.3,"Tenaris"
"8",5,3.4,1.5,0.2,"Tenaris"
"9",4.4,2.9,1.4,0.2,"Tenaris"
"10",4.9,3.1,1.5,0.1,"Tenaris"
"11",5.4,3.7,1.5,0.2,"Tenaris"
"12",4.8,3.4,1.6,0.2,"Tenaris"
"13",4.8,3,1.4,0.1,"Tenaris"
"14",4.3,3,1.1,0.1,"Tenaris"
"15",5.8,4,1.2,0.2,"Tenaris"
"16",5.7,4.4,1.5,0.4,"Tenaris"
"17",5.4,3.9,1.3,0.4,"Tenaris"
"18",5.1,3.5,1.4,0.3,"Tenaris"
"19",5.7,3.8,1.7,0.3,"Tenaris"
"20",5.1,3.8,1.5,0.3,"Tenaris"
"21",5.4,3.4,1.7,0.2,"Tenaris"
"22",5.1,3.7,1.5,0.4,"Tenaris"
"23",4.6,3.6,1,0.2,"Tenaris"
"24",5.1,3.3,1.7,0.5,"Tenaris"
"25",4.8,3.4,1.9,0.2,"Tenaris"
"26",5,3,1.6,0.2,"Tenaris"
"27",5,3.4,1.6,0.4,"Tenaris"
"28",5.2,3.5,1.5,0.2,"Tenaris"
"29",5.2,3.4,1.4,0.2,"Tenaris"
"30",4.7,3.2,1.6,0.2,"Tenaris"
"31",4.8,3.1,1.6,0.2,"Tenaris"
"32",5.4,3.4,1.5,0.4,"Tenaris"
"33",5.2,4.1,1.5,0.1,"Tenaris"
"34",5.5,4.2,1.4,0.2,"Tenaris"
"35",4.9,3.1,1.5,0.2,"Tenaris"
"36",5,3.2,1.2,0.2,"Tenaris"
"37",5.5,3.5,1.3,0.2,"Tenaris"
"38",4.9,3.6,1.4,0.1,"Tenaris"
"39",4.4,3,1.3,0.2,"Tenaris"
"40",5.1,3.4,1.5,0.2,"Tenaris"
"41",5,3.5,1.3,0.3,"Tenaris"
"42",4.5,2.3,1.3,0.3,"Tenaris"
"43",4.4,3.2,1.3,0.2,"Tenaris"
"44",5,3.5,1.6,0.6,"Tenaris"
"45",5.1,3.8,1.9,0.4,"Tenaris"
"46",4.8,3,1.4,0.3,"Tenaris"
"47",5.1,3.8,1.6,0.2,"Tenaris"
"48",4.6,3.2,1.4,0.2,"Tenaris"
"49",5.3,3.7,1.5,0.2,"Tenaris"
"50",5,3.3,1.4,0.2,"Tenaris"
"51",7,3.2,4.7,1.4,"Tenova"
"52",6.4,3.2,4.5,1.5,"Tenova"
"53",6.9,3.1,4.9,1.5,"Tenova"
"54",5.5,2.3,4,1.3,"Tenova"
"55",6.5,2.8,4.6,1.5,"Tenova"
"56",5.7,2.8,4.5,1.3,"Tenova"
"57",6.3,3.3,4.7,1.6,"Tenova"
"58",4.9,2.4,3.3,1,"Tenova"
"59",6.6,2.9,4.6,1.3,"Tenova"
"60",5.2,2.7,3.9,1.4,"Tenova"
"61",5,2,3.5,1,"Tenova"
"62",5.9,3,4.2,1.5,"Tenova"
"63",6,2.2,4,1,"Tenova"
"64",6.1,2.9,4.7,1.4,"Tenova"
"65",5.6,2.9,3.6,1.3,"Tenova"
"66",6.7,3.1,4.4,1.4,"Tenova"
"67",5.6,3,4.5,1.5,"Tenova"
"68",5.8,2.7,4.1,1,"Tenova"
"69",6.2,2.2,4.5,1.5,"Tenova"
"70",5.6,2.5,3.9,1.1,"Tenova"
"71",5.9,3.2,4.8,1.8,"Tenova"
"72",6.1,2.8,4,1.3,"Tenova"
"73",6.3,2.5,4.9,1.5,"Tenova"
"74",6.1,2.8,4.7,1.2,"Tenova"
"75",6.4,2.9,4.3,1.3,"Tenova"
"76",6.6,3,4.4,1.4,"Tenova"
"77",6.8,2.8,4.8,1.4,"Tenova"
"78",6.7,3,5,1.7,"Tenova"
"79",6,2.9,4.5,1.5,"Tenova"
"80",5.7,2.6,3.5,1,"Tenova"
"81",5.5,2.4,3.8,1.1,"Tenova"
"82",5.5,2.4,3.7,1,"Tenova"
